type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Collection,cof:water,,,Collectie van fysico-chemische eigenschappen die betrekking hebben op water.,,,,,,
skos:Concept,cf:0001,-101,Gemiddeld,Gemiddeld,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0002,-2,OB,Onbekend,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0003,42,QI,Kwaliteits Index,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0004,77,d,Densiteit,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:11116,cof:water,
skos:Concept,cf:0005,78,Secchi,Doorzichtigheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0006,79,DR,Droogrest,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0007,80,DR105,Droogresten (105°C),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0006
skos:Concept,cf:0008,81,DR180,Droogresten (180°C),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0006
skos:Concept,cf:0009,82,EC 20,Geleidbaarheid (20°C),,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0010,83,EC,Geleidbaarheid ter plaatse,,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0011,84,GR,Gloeirest,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0012,85,GV,Gloeiverlies,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0013,86,H per.,"Hardheid, permanent",,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0015
skos:Concept,cf:0014,87,H tijd.,"Hardheid, tijdelijk",,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0015
skos:Concept,cf:0015,88,H t,"Hardheid, totaal",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0016,89,IB,Ionenbalans,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0017,90,IS,Ionensterkte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0018,91,Kleur,Kleur,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0019,93,Gran<16,Korrelgrootte distributie <16µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0020,94,Gran<2,Korrelgrootte distributie <2µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0021,95,Gran<63,Korrelgrootte distributie <63µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0022,96,Gran>63,Korrelgrootte distributie >63µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0023,97,Neerslag,Neerslag,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0024,100,pH,pH,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0076
skos:Concept,cf:0025,101,pH-KCl,pH (KCl),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0076
skos:Concept,cf:0026,102,Eh,Redox potentiaal,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0027,103,Reuk,Geur,Reuk,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0028,104,Salin.,Saliniteit,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0029,105,Smaak,Smaak,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0030,106,T,Temperatuur,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0031,107,Turb.,Turbiditeit,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0032,108,Turb. ps,"Turbiditeit, postsedimentair",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0033,110,VP,Vlampunt,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0034,110,VP,Vlampunt,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0036,112,Water,Watergehalte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0037,114,ZS afm.,"Zwevende stoffen, afmeting",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0038,115,nSE,Aantal systematische eenheden,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0039,287,BZV5,Biochemisch zuurstofverbruik na 5d.,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0040,288,CZV,Chemisch zuurstofverbruik,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0041,289,CZV f,"Chemisch zuurstofverbruik, gefiltreerd",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0042,389,KW,Kwaliteit,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0043,446,Alpha,"Radioactiviteit, alpha",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0044,448,Beta,"Radioactiviteit, beta",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0045,453,dil.F,Dilutie factor,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0046,468,Rot,Verrotbaarheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0047,514,Sp.opp.,Specifiek oppervlak,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0048,571,Gran<2 bt,"Korrelgrootte distributie <2µm, totaal",,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
