uri,vmmParameterId
cf:0114,2142
cf:0113,2118
cf:0112,2117
cf:0111,2116
cf:0110,2097
cf:0109,2096
cf:0108,2095
cf:0107,2094
cf:0106,2093
cf:0105,2088
cf:0104,2087
cf:0103,2084
cf:0102,2083
cf:0101,2082
cf:0100,2081
cf:0099,2080
cf:0098,2079
cf:0097,2078
cf:0096,2077
cf:0095,1860
cf:0094,1858
cf:0093,1801
cf:0092,1800
cf:0091,1713
cf:0090,1704
cf:0089,1703
cf:0088,1702
cf:0087,1683
cf:0086,1672
cf:0115,1671
cf:0085,1670
cf:0084,1669
cf:0082,1541
cf:0081,1517
cf:0080,1516
cf:0079,1327
cf:0078,1326
cf:0077,1308
cf:0076,1296
cf:0075,1293
cf:0074,1292
cf:0073,1291
cf:0072,1290
cf:0071,1289
cf:0070,1288
cf:0069,1282
cf:0068,1281
cf:0067,1280
cf:0066,1279
cf:0065,1273
cf:0064,1266
cf:0063,1264
cf:0062,1263
cf:0061,1074
cf:0060,1073
cf:0059,1072
cf:0058,1043
cf:0057,926
cf:0056,880
cf:0055,825
cf:0054,722
cf:0053,702
cf:0052,691
cf:0051,616
cf:0050,612
cf:0049,611
cf:0048,571
cf:0047,514
cf:0046,468
cf:0045,453
cf:0044,448
cf:0043,446
cf:0042,389
cf:0041,289
cf:0040,288
cf:0039,287
cf:0038,115
cf:0037,114
cf:0036,112
cf:0033,110
cf:0034,110
cf:0032,108
cf:0031,107
cf:0030,106
cf:0029,105
cf:0028,104
cf:0027,103
cf:0026,102
cf:0025,101
cf:0024,100
cf:0023,97
cf:0022,96
cf:0021,95
cf:0020,94
cf:0019,93
cf:0018,91
cf:0017,90
cf:0016,89
cf:0015,88
cf:0014,87
cf:0013,86
cf:0012,85
cf:0011,84
cf:0010,83
cf:0009,82
cf:0008,81
cf:0007,80
cf:0006,79
cf:0005,78
cf:0004,77
cf:0003,42
cf:0001,-101
