id,type,inScheme,member,prefLabel,notation,topConceptOf,theme,broader,broaderTransitive,semanticRelation,narrower,narrowerTransitive,altLabel,belongsTo,hasTopConcept
https://data.omgeving.vlaanderen.be/id/collection/fysico-chemisch/water,http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/100|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/101|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/102|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/103|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/104|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/105|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/106|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/107|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/108|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/109|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/10|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/110|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/111|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/112|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/113|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/114|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/115|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/11|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/12|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/13|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/14|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/15|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/16|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/17|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/18|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/19|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/1|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/20|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/21|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/22|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/23|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/24|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/25|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/26|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/27|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/28|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/29|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/30|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/31|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/32|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/33|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/36|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/37|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/38|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/39|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/3|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/40|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/41|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/42|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/43|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/44|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/45|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/46|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/47|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/48|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/49|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/4|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/50|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/51|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/52|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/53|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/54|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/55|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/56|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/57|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/58|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/59|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/5|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/60|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/61|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/62|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/63|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/64|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/65|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/66|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/67|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/68|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/69|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/6|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/70|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/71|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/72|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/73|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/74|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/75|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/76|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/77|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/78|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/79|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/7|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/80|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/81|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/82|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/84|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/85|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/86|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/87|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/88|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/89|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/8|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/90|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/91|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/92|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/93|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/94|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/95|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/96|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/97|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/98|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/99|https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/9,Collectie van fysico-chemische eigenschappen die betrekking hebben op water.,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/1,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Gemiddeld,Gemiddeld,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/10,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Geleidbaarheid ter plaatse,EC,null,http://www.eionet.europa.eu/gemet/concept/6229|http://www.eionet.europa.eu/gemet/concept/1686,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/100,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Deeltjesaantal 70-100 nm,NC70-100,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/101,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Deeltjesaantal 100-200 nm,NC100-200,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/102,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Deeltjesaantal 200-500 nm,NC200-500,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/103,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Deeltjesaantal 200-1000 nm,NC200-1000,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/104,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,"Geleidbaarheid (20°C), MUC project",MUC-EC 20,null,http://www.eionet.europa.eu/gemet/concept/6229|http://www.eionet.europa.eu/gemet/concept/1686,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/105,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,"Geleidbaarheid (20°C), MUC project",MUCd-EC 20,null,http://www.eionet.europa.eu/gemet/concept/6229|http://www.eionet.europa.eu/gemet/concept/1686,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/106,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <125µm,Gran<125,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
