uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
collectie:water,,Collectie van fysico-chemische eigenschappen die betrekking hebben op water.,,conceptscheme:fysico-chemische-eigenschap,,,,,,
1,Gemiddeld,Gemiddeld,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
3,QI,Kwaliteits Index,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
4,d,Densiteit,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:11116,collectie:water,,,
5,Secchi,Doorzichtigheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
6,DR,Droogrest,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
7,DR105,Droogresten (105°C),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,6,,
8,DR180,Droogresten (180°C),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,6,,
9,EC 20,Geleidbaarheid (20°C),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
10,EC,Geleidbaarheid ter plaatse,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
11,GR,Gloeirest,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
12,GV,Gloeiverlies,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
13,H per.,"Hardheid, permanent",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,15,,
14,H tijd.,"Hardheid, tijdelijk",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,15,,
15,H t,"Hardheid, totaal",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
16,IB,Ionenbalans,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
17,IS,Ionensterkte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
18,Kleur,Kleur,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
19,Gran<16,Korrelgrootte distributie <16µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
20,Gran<2,Korrelgrootte distributie <2µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
21,Gran<63,Korrelgrootte distributie <63µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
22,Gran>63,Korrelgrootte distributie >63µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
23,Neerslag,Neerslag,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
24,pH,pH,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,76,,
25,pH-KCl,pH (KCl),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,76,,
26,Eh,Redox potentiaal,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
27,Reuk,Geur,Reuk,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
28,Salin.,Saliniteit,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
29,Smaak,Smaak,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
30,T,Temperatuur,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
31,Turb.,Troebelingsgraad,Turbiditeit,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
32,Turb. ps,"Turbiditeit, postsedimentair",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
33,VP,Vlampunt,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
36,Water,Watergehalte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
37,ZS afm.,"Zwevende stoffen, afmeting",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,Status: done01.2026
38,nSE,Aantal systematische eenheden,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
39,BZV5,Biochemisch zuurstofverbruik na 5d.,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
40,CZV,Chemisch zuurstofverbruik,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
41,CZV f,"Chemisch zuurstofverbruik, gefiltreerd",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
42,KW,Kwaliteit,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
